,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,R_age,B_age,R_Stance,B_Stance,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,B_Weight_lbs,R_Weight_lbs,R_current_win_streak,B_current_win_streak,R_wins,R_losses,B_wins,B_losses
0,Adrian Yanez,Gustavo Lopez,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,Bantamweight,27.0,31.0,Orthodox,Orthodox,170.18,165.1,177.8,170.18,135.0,135.0,1,0,1,0,1,1
1,Trevin Giles,Roman Dolidze,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Middleweight,28.0,32.0,Orthodox,Orthodox,182.88,187.96,187.96,193.04,205.0,185.0,2,2,4,2,2,0
2,Tai Tuivasa,Harry Hunsucker,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Heavyweight,28.0,32.0,Southpaw,Orthodox,187.96,187.96,190.5,190.5,241.0,264.0,3,0,4,3,0,0
3,Cheyanne Buys,Montserrat Conejo,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,25.0,28.0,Switch,Southpaw,160.02,152.4,160.02,154.94,115.0,115.0,0,0,0,0,0,0
4,Marion Reneau,Macy Chiasson,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,43.0,29.0,Orthodox,Orthodox,167.64,180.34,172.72,182.88,135.0,135.0,2,3,5,6,4,1
5,Leonardo Santos,Grant Dawson,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,Lightweight,41.0,27.0,Orthodox,Switch,182.88,177.8,190.5,182.88,145.0,155.0,1,4,7,1,4,0
6,Song Kenan,Max Griffin,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,Welterweight,31.0,35.0,Orthodox,Orthodox,182.88,180.34,180.34,193.04,170.0,170.0,2,0,4,1,4,6
7,Derek Brunson,Kevin Holland,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Middleweight,37.0,28.0,Southpaw,Orthodox,185.42,190.5,195.58,205.74,185.0,185.0,2,0,12,5,8,2
8,Montel Jackson,Jesse Strader,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,Bantamweight,28.0,29.0,Southpaw,Orthodox,177.8,170.18,190.5,177.8,135.0,135.0,0,0,3,2,0,0
9,Bruno Silva,JP Buys,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,Flyweight,31.0,24.0,,Orthodox,182.88,165.1,,170.18,125.0,185.0,0,0,0,3,0,0
10,Manel Kape,Matheus Nicolau,,2021-03-13,"Las Vegas, Nevada, USA",Blue,Flyweight,27.0,28.0,Southpaw,Orthodox,165.1,167.64,172.72,167.64,125.0,125.0,0,3,0,1,3,1
11,Misha Cirkunov,Ryan Spann,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,34.0,29.0,Orthodox,Orthodox,190.5,195.58,195.58,200.66,205.0,205.0,4,4,6,3,4,1
12,Leon Edwards,Belal Muhammad,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,Welterweight,29.0,32.0,Southpaw,Orthodox,187.96,180.34,187.96,182.88,170.0,170.0,0,0,10,2,9,3
13,Charles Jourdain,Marcelo Rojo,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Red,Featherweight,25.0,32.0,Switch,Orthodox,175.26,172.72,175.26,180.34,145.0,145.0,0,0,1,3,0,0
14,Eryk Anders,Darren Stewart,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,Middleweight,33.0,30.0,Southpaw,Orthodox,185.42,182.88,190.5,187.96,185.0,185.0,2,0,5,5,5,6
15,Angela Hill,Ashley Yoder,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,WomenStrawweight,36.0,33.0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,1,0,7,9,3,5
16,Jonathan Martinez,Davey Grant,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Blue,Bantamweight,26.0,35.0,Southpaw,Orthodox,172.72,172.72,177.8,175.26,135.0,135.0,0,0,4,2,3,3
17,Dan Ige,Gavin Tucker,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,Featherweight,29.0,34.0,Orthodox,Southpaw,170.18,167.64,180.34,167.64,145.0,145.0,0,1,6,2,4,1
18,Nasrat Haqparast,Rafa Garcia,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,Lightweight,25.0,26.0,Southpaw,Orthodox,177.8,170.18,182.88,177.8,155.0,155.0,0,0,4,2,0,0
19,Cortney Casey,JJ Aldrich,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,33.0,28.0,Orthodox,Southpaw,170.18,165.1,170.18,170.18,125.0,125.0,0,0,5,7,4,3
20,Matthew Semelsberger,Jason Witt,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,Welterweight,28.0,34.0,Switch,Orthodox,185.42,177.8,190.5,177.8,170.0,170.0,1,0,1,0,1,1
21,Rani Yahya,Ray Rodriguez,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Red,Bantamweight,36.0,33.0,Orthodox,Orthodox,167.64,170.18,170.18,177.8,135.0,135.0,1,0,11,6,0,1
22,Gloria de Paula,Jinh Yu Frey,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,25.0,35.0,Orthodox,Southpaw,165.1,160.02,170.18,165.1,115.0,115.0,0,0,0,0,0,2
23,Dominick Cruz,Casey Kenney,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Red,Bantamweight,35.0,29.0,Orthodox,Southpaw,172.72,170.18,172.72,172.72,140.0,135.0,5,2,5,2,5,1
24,Song Yadong,Kyler Phillips,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,Bantamweight,23.0,25.0,Orthodox,Orthodox,172.72,172.72,170.18,182.88,135.0,145.0,4,2,5,1,2,0
25,Petr Yan,Aljamain Sterling,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,Bantamweight,28.0,31.0,Switch,Orthodox,170.18,170.18,170.18,180.34,135.0,135.0,7,4,7,0,11,3
26,Jan Blachowicz,Israel Adesanya,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Red,LightHeavyweight,38.0,31.0,Orthodox,Switch,187.96,193.04,198.12,203.2,185.0,205.0,1,9,10,5,9,0
27,Thiago Santos,Aleksandar Rakic,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,37.0,29.0,Orthodox,Orthodox,187.96,193.04,193.04,198.12,205.0,205.0,0,4,13,7,5,1
28,Joseph Benavidez,Askar Askarov,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Blue,Flyweight,36.0,28.0,Southpaw,Orthodox,162.56,167.64,165.1,170.18,125.0,125.0,3,0,15,5,2,1
29,Amanda Nunes,Megan Anderson,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Red,WomenFeatherweight,32.0,31.0,Orthodox,Orthodox,172.72,182.88,175.26,182.88,145.0,145.0,2,0,13,1,3,2
30,Islam Makhachev,Drew Dober,Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Red,Lightweight,29.0,32.0,Southpaw,Southpaw,177.8,172.72,177.8,177.8,155.0,155.0,1,0,7,1,9,6
31,Tim Elliott,Jordan Espinosa,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Red,Flyweight,34.0,31.0,Southpaw,Orthodox,170.18,167.64,167.64,175.26,125.0,125.0,0,1,5,9,2,3
32,Livinha Souza,Amanda Lemos,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,29.0,33.0,Orthodox,Southpaw,160.02,162.56,160.02,165.1,115.0,115.0,2,0,3,1,2,1
33,Rogerio Bontorin,Kai Kara-France,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Blue,Flyweight,28.0,27.0,Orthodox,Orthodox,165.1,162.56,170.18,175.26,125.0,125.0,2,3,2,1,4,2
34,Uros Medic,Aalon Cruz,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Red,Lightweight,27.0,31.0,Southpaw,Switch,185.42,182.88,180.34,198.12,145.0,155.0,0,0,0,0,0,1
35,Kennedy Nzechukwu,Carlos Ulberg,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Red,LightHeavyweight,28.0,30.0,Southpaw,Orthodox,195.58,193.04,210.82,195.58,205.0,205.0,0,0,1,1,0,0
36,Sean Brady,Jake Matthews,Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Red,Welterweight,28.0,26.0,Orthodox,Orthodox,177.8,180.34,182.88,185.42,170.0,170.0,3,2,3,0,10,4
37,Mario Bautista,Trevin Jones,Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Blue,Bantamweight,27.0,30.0,Switch,Southpaw,175.26,170.18,175.26,177.8,140.0,135.0,0,0,2,1,0,1
38,Jairzinho Rozenstruik,Ciryl Gane,Herb Dean,2021-02-27,"Las Vegas, Nevada, USA",Blue,Heavyweight,32.0,30.0,Orthodox,Orthodox,193.04,193.04,198.12,205.74,245.0,242.0,4,4,5,1,4,0
39,Montana De La Rosa,Mayra Bueno Silva,Jerin Valel,2021-02-27,"Las Vegas, Nevada, USA",Draw,WomenFlyweight,26.0,29.0,Orthodox,Orthodox,170.18,167.64,172.72,167.64,135.0,125.0,3,1,4,2,2,1
40,Vince Cachero,Ronnie Lawrence,Jerin Valel,2021-02-27,"Las Vegas, Nevada, USA",Blue,Bantamweight,31.0,28.0,Orthodox,Switch,167.64,172.72,172.72,172.72,135.0,145.0,0,0,0,1,0,0
41,Alexander Hernandez,Thiago Moises,Mark Smith,2021-02-27,"Las Vegas, Nevada, USA",Blue,Lightweight,28.0,25.0,Orthodox,Orthodox,175.26,175.26,182.88,177.8,155.0,155.0,2,0,4,2,3,2
42,Pedro Munhoz,Jimmie Rivera,Herb Dean,2021-02-27,"Las Vegas, Nevada, USA",Red,Bantamweight,34.0,31.0,Orthodox,Orthodox,167.64,162.56,165.1,172.72,135.0,135.0,0,5,8,6,7,3
43,Alex Caceres,Kevin Croom,Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Red,Featherweight,32.0,33.0,Southpaw,Orthodox,177.8,180.34,185.42,185.42,155.0,145.0,0,0,12,11,0,1
44,Alexis Davis,Sabina Mazo,Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Red,WomenBantamweight,36.0,23.0,Orthodox,Orthodox,167.64,170.18,172.72,177.8,135.0,135.0,3,0,6,5,3,1
45,Nikita Krylov,Magomed Ankalaev,Mark Smith,2021-02-27,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,28.0,28.0,Orthodox,Orthodox,190.5,190.5,195.58,190.5,205.0,205.0,0,0,8,5,5,1
46,Dustin Jacoby,Maxim Grishin,Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Red,LightHeavyweight,32.0,36.0,Orthodox,Orthodox,190.5,190.5,193.04,198.12,220.0,205.0,0,0,1,2,1,1
47,Aleksei Oleinik,Chris Daukaus,Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Blue,Heavyweight,43.0,31.0,Orthodox,Orthodox,187.96,190.5,203.2,193.04,250.0,240.0,2,2,8,5,2,0
48,Charles Rosa,Darrick Minner,Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Blue,Featherweight,34.0,30.0,Switch,Orthodox,175.26,170.18,175.26,175.26,145.0,145.0,0,0,4,4,1,1
49,Phil Hawes,Nassourdine Imavov,Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Red,Middleweight,32.0,25.0,Orthodox,Orthodox,182.88,190.5,195.58,190.5,185.0,185.0,1,1,1,0,1,0
50,Curtis Blaydes,Derrick Lewis,Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Blue,Heavyweight,30.0,36.0,Orthodox,Orthodox,193.04,190.5,203.2,200.66,260.0,265.0,0,2,9,3,15,5
51,Eddie Wineland,John Castaneda,Jason Herzog,2021-02-20,"Las Vegas, Nevada, USA",Blue,Bantamweight,36.0,29.0,Orthodox,Switch,170.18,167.64,175.26,180.34,135.0,135.0,0,0,6,8,0,1
52,Andrei Arlovski,Tom Aspinall,Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Blue,Heavyweight,42.0,27.0,Orthodox,Orthodox,190.5,195.58,195.58,198.12,256.0,240.0,1,2,19,14,2,0
53,Jared Gordon,Danny Chavez,Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Red,Featherweight,32.0,33.0,Orthodox,Orthodox,175.26,172.72,172.72,170.18,145.0,145.0,2,1,4,3,1,0
54,Ketlen Vieira,Yana Kunitskaya,Jason Herzog,2021-02-20,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,29.0,31.0,Orthodox,Orthodox,172.72,167.64,172.72,172.72,135.0,135.0,4,0,5,1,3,2
55,Aiemann Zahabi,Drako Rodriguez,Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Red,Bantamweight,33.0,24.0,Orthodox,Orthodox,172.72,172.72,172.72,175.26,135.0,135.0,1,0,1,2,0,0
56,Serghei Spivac,Jared Vanderaa,Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Red,Heavyweight,26.0,28.0,Orthodox,Orthodox,190.5,193.04,198.12,203.2,260.0,260.0,0,0,2,2,0,0
57,Nate Landwehr,Julian Erosa,Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Blue,Featherweight,32.0,31.0,Orthodox,Southpaw,175.26,185.42,182.88,187.96,145.0,145.0,0,1,1,1,2,4
58,Shana Dobson,Casey O'Neill,Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,31.0,23.0,Orthodox,,167.64,167.64,175.26,175.26,125.0,125.0,1,0,2,3,0,0
59,Maycee Barber,Alexa Grasso,Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,22.0,27.0,Switch,Orthodox,165.1,165.1,165.1,167.64,125.0,125.0,3,1,3,1,4,3
60,Belal Muhammad,Dhiego Lima,Herb Dean,2021-02-13,"Las Vegas, Nevada, USA",Red,Welterweight,32.0,32.0,Orthodox,Orthodox,180.34,187.96,182.88,190.5,170.0,170.0,0,0,8,3,4,5
61,Maki Pitolo,Julian Marquez,Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Blue,Middleweight,30.0,30.0,Orthodox,Orthodox,177.8,187.96,190.5,182.88,185.0,185.0,0,1,1,3,1,1
62,Kamaru Usman,Gilbert Burns,Herb Dean,2021-02-13,"Las Vegas, Nevada, USA",Red,Welterweight,33.0,34.0,Switch,Orthodox,182.88,177.8,193.04,180.34,170.0,170.0,12,3,12,0,12,3
63,Ricky Simon,Brian Kelleher,Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Red,Featherweight,28.0,34.0,Orthodox,Switch,167.64,167.64,175.26,167.64,145.0,135.0,3,1,5,2,6,4
64,Kelvin Gastelum,Ian Heinisch,Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Red,Middleweight,29.0,32.0,Southpaw,Orthodox,175.26,180.34,180.34,182.88,185.0,185.0,5,2,10,7,3,2
65,Polyana Viana,Mallory Martin,Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Red,WomenStrawweight,28.0,27.0,Orthodox,Orthodox,165.1,162.56,170.18,160.02,115.0,115.0,1,0,2,3,1,1
66,Rodolfo Vieira,Anthony Hernandez,Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Blue,Middleweight,31.0,27.0,Orthodox,Orthodox,182.88,182.88,185.42,190.5,185.0,185.0,2,0,2,0,1,2
67,Gabe Green,Philip Rowe,Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Red,Welterweight,27.0,30.0,Switch,Orthodox,177.8,190.5,185.42,203.2,170.0,170.0,0,0,0,1,0,0
68,Andre Ewell,Chris Gutierrez,Chris Tognoni,2021-02-13,"Las Vegas, Nevada, USA",Blue,CatchWeight,33.0,29.0,Southpaw,Orthodox,172.72,175.26,190.5,170.18,145.0,135.0,1,0,4,2,3,2
69,Alexandre Pantoja,Manel Kape,Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Red,Flyweight,30.0,27.0,Orthodox,Southpaw,165.1,165.1,170.18,172.72,125.0,125.0,2,0,6,3,0,0
70,Karol Rosa,Joselyne Edwards,Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Red,WomenBantamweight,26.0,25.0,Orthodox,Orthodox,165.1,172.72,170.18,177.8,135.0,135.0,2,1,2,0,1,0
71,Devonte Smith,Justin Jaynes,Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Red,CatchWeight,27.0,31.0,Orthodox,Orthodox,175.26,170.18,193.04,172.72,155.0,155.0,2,1,2,1,1,2
72,Michael Johnson,Clay Guida,Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Blue,Lightweight,34.0,39.0,Southpaw,Orthodox,177.8,170.18,185.42,177.8,155.0,155.0,0,1,11,12,15,14
73,Alistair Overeem,Alexander Volkov,Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Blue,Heavyweight,40.0,32.0,Orthodox,Orthodox,193.04,200.66,203.2,203.2,250.0,265.0,1,4,12,7,6,2
74,Diego Ferreira,Beneil Dariush,Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Blue,Lightweight,36.0,31.0,Orthodox,Southpaw,175.26,177.8,187.96,182.88,155.0,155.0,2,1,8,2,13,5
75,Cory Sandhagen,Frankie Edgar,Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Red,Bantamweight,28.0,39.0,Switch,Orthodox,180.34,167.64,177.8,172.72,135.0,135.0,5,3,6,1,18,9
76,Mike Rodriguez,Danilo Marques,Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,32.0,35.0,Southpaw,Orthodox,193.04,198.12,208.28,195.58,205.0,205.0,0,1,2,4,1,0
77,Ode Osbourne,Jerome Rivera,Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Red,Featherweight,29.0,25.0,Southpaw,Southpaw,170.18,177.8,185.42,182.88,145.0,145.0,0,0,0,1,0,2
78,SeungWoo Choi,Youssef Zalal,Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Red,Featherweight,28.0,24.0,Orthodox,Switch,182.88,177.8,187.96,182.88,145.0,145.0,0,3,1,2,3,1
79,Molly McCann,Lara Procopio,Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,30.0,25.0,Orthodox,Orthodox,162.56,162.56,157.48,170.18,125.0,125.0,0,0,3,2,0,1
80,Timur Valiev,Martin Day,Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Red,Featherweight,31.0,32.0,Orthodox,Orthodox,167.64,177.8,170.18,185.42,145.0,145.0,0,0,0,1,0,3
81,Dan Hooker,Michael Chandler,Marc Goddard,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Lightweight,30.0,34.0,Switch,Orthodox,182.88,172.72,190.5,180.34,155.0,155.0,1,0,10,5,0,0
82,Andrew Sanchez,Makhmud Muradov,Jason Herzog,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Middleweight,32.0,30.0,Orthodox,Orthodox,185.42,187.96,187.96,190.5,185.0,185.0,2,2,5,3,2,0
83,Julianna Pena,Sara McMann,Keith Peterson,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,WomenBantamweight,31.0,40.0,Orthodox,Orthodox,167.64,167.64,175.26,167.64,135.0,135.0,4,1,5,2,6,5
84,Jessica Eye,Joanne Calderwood,Keith Peterson,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,34.0,35.0,Orthodox,Orthodox,167.64,167.64,167.64,165.1,125.0,125.0,0,1,5,8,6,5
85,Dustin Poirier,Conor McGregor,Herb Dean,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,32.0,32.0,Southpaw,Southpaw,175.26,175.26,182.88,187.96,155.0,155.0,4,7,18,6,10,2
86,Brad Tavares,Antonio Carlos Junior,Marc Goddard,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,33.0,30.0,Orthodox,Orthodox,185.42,187.96,187.96,200.66,185.0,185.0,2,1,12,6,7,5
87,Arman Tsarukyan,Matt Frevola,Lukasz Bosacki,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,24.0,30.0,Orthodox,Orthodox,170.18,175.26,182.88,180.34,155.0,155.0,0,0,2,1,2,2
88,Marina Rodriguez,Amanda Ribas,Herb Dean,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,WomenStrawweight,33.0,27.0,Orthodox,Orthodox,167.64,160.02,165.1,167.64,125.0,115.0,0,4,2,3,4,0
89,Amir Albazi,Zhalgas Zhumagulov,Jason Herzog,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,27.0,32.0,Orthodox,Switch,165.1,162.56,172.72,167.64,125.0,125.0,1,0,1,0,0,1
90,Khalil Rountree Jr.,Marcin Prachnio,Herb Dean,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,LightHeavyweight,30.0,32.0,Southpaw,Orthodox,185.42,190.5,193.04,187.96,205.0,205.0,0,0,4,5,0,3
91,Nik Lentz,Movsar Evloev,Lukasz Bosacki,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,CatchWeight,36.0,26.0,Orthodox,Orthodox,172.72,170.18,172.72,182.88,145.0,145.0,1,3,14,10,3,0
92,Ricky Simon,Gaetano Pirrello,Keith Peterson,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Bantamweight,28.0,28.0,Orthodox,Orthodox,167.64,170.18,175.26,,135.0,135.0,3,0,4,2,0,0
93,Omari Akhmedov,Tom Breese,Lukasz Bosacki,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,33.0,29.0,Orthodox,Southpaw,182.88,190.5,185.42,185.42,185.0,185.0,1,3,8,5,5,2
94,Warlley Alves,Mounir Lazzez,Herb Dean,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,30.0,33.0,Orthodox,Orthodox,180.34,185.42,182.88,193.04,170.0,170.0,4,1,7,4,1,0
95,Matt Schnell,Tyson Nam,Herb Dean,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,31.0,37.0,Orthodox,Orthodox,172.72,170.18,177.8,172.72,125.0,125.0,0,0,4,3,2,2
96,Roxanne Modafferi,Viviane Araujo,Keith Peterson,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,38.0,34.0,Orthodox,Orthodox,170.18,162.56,175.26,172.72,125.0,125.0,0,2,4,5,3,1
97,Ike Villanueva,Vinicius Moreira,Jason Herzog,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,LightHeavyweight,36.0,31.0,Orthodox,Orthodox,185.42,193.04,185.42,193.04,205.0,225.0,0,0,0,2,0,3
98,Michael Chiesa,Neil Magny,Marc Goddard,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,33.0,33.0,Southpaw,Orthodox,185.42,190.5,190.5,203.2,170.0,170.0,2,1,10,4,17,6
99,Lerone Murphy,Douglas Silva de Andrade,Marc Goddard,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,29.0,35.0,Orthodox,Orthodox,175.26,170.18,185.42,172.72,145.0,145.0,0,0,1,1,4,3
100,Su Mudaerji,Zarrukh Adashev,Jason Herzog,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,25.0,28.0,Southpaw,Southpaw,172.72,165.1,182.88,165.1,125.0,125.0,0,0,2,1,0,1
101,Francisco Figueiredo,Jerome Rivera,Marc Goddard,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,31.0,25.0,Southpaw,Southpaw,167.64,177.8,175.26,182.88,145.0,135.0,0,0,0,0,0,1
102,Mike Davis,Mason Jones,Keith Peterson,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,28.0,25.0,Orthodox,Orthodox,182.88,177.8,182.88,,155.0,145.0,0,0,1,1,0,0
103,Dalcha Lungiambula,Markus Perez,Herb Dean,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,33.0,32.0,Orthodox,Orthodox,172.72,185.42,193.04,185.42,185.0,185.0,1,0,1,1,2,4
104,Umar Nurmagomedov,Sergey Morozov,Jason Herzog,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Bantamweight,24.0,31.0,Orthodox,Orthodox,172.72,167.64,,,135.0,135.0,0,0,0,0,0,0
105,Victoria Leonardo,Manon Fiorot,Lukasz Bosacki,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,30.0,30.0,Orthodox,Orthodox,165.1,170.18,162.56,,125.0,125.0,0,0,0,0,0,0
106,Wu Yanan,Joselyne Edwards,Jason Herzog,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenBantamweight,24.0,25.0,Orthodox,Orthodox,172.72,172.72,167.64,177.8,135.0,125.0,0,0,1,2,0,0
107,Punahele Soriano,Dusko Todorovic,Herb Dean,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,28.0,26.0,Southpaw,Orthodox,180.34,185.42,182.88,187.96,185.0,185.0,1,1,1,0,1,0
108,Carlos Felipe,Justin Tafa,Herb Dean,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Heavyweight,26.0,27.0,Orthodox,Southpaw,182.88,182.88,190.5,187.96,264.0,245.0,0,0,1,1,1,1
109,Carlos Condit,Matt Brown,Marc Goddard,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,36.0,40.0,Orthodox,Orthodox,187.96,182.88,190.5,190.5,170.0,170.0,0,1,8,9,15,11
110,David Zawada,Ramazan Emeev,Jason Herzog,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Welterweight,30.0,33.0,Orthodox,Southpaw,182.88,177.8,190.5,193.04,170.0,170.0,0,3,1,2,4,1
111,Joaquin Buckley,Alessio Di Chirico,Keith Peterson,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Middleweight,26.0,31.0,Southpaw,Orthodox,177.8,182.88,193.04,187.96,185.0,185.0,0,0,2,1,3,5
112,Santiago Ponzinibbio,Li Jingliang,Jason Herzog,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Welterweight,34.0,32.0,Orthodox,Orthodox,182.88,182.88,185.42,180.34,170.0,170.0,0,1,9,2,9,4
113,Max Holloway,Calvin Kattar,Herb Dean,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,29.0,32.0,Orthodox,Orthodox,180.34,180.34,175.26,182.88,145.0,145.0,0,2,17,6,6,2
114,Sarah Moras,Vanessa Melo,Keith Peterson,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenBantamweight,32.0,32.0,Orthodox,Orthodox,170.18,165.1,170.18,165.1,135.0,135.0,1,0,3,5,0,3
